ID,Date,Consumption
385,2022-06-10 00:00:00 -> 2022-06-10 23:55:00,151.00
386,2022-06-11 00:00:00 -> 2022-06-11 23:55:00,149.00
387,2022-06-12 00:00:00 -> 2022-06-12 23:55:00,0.00
388,2022-06-13 00:00:00 -> 2022-06-13 23:55:00,118.00
389,2022-06-14 00:00:00 -> 2022-06-14 23:55:00,153.00
390,2022-06-15 00:00:00 -> 2022-06-15 23:55:00,76.00
391,2022-06-16 00:00:00 -> 2022-06-16 23:55:00,146.00
392,2022-06-17 00:00:00 -> 2022-06-17 23:55:00,105.00
393,2022-06-18 00:00:00 -> 2022-06-18 23:55:00,149.00
394,2022-06-19 00:00:00 -> 2022-06-19 23:55:00,148.00
395,2022-06-20 00:00:00 -> 2022-06-20 23:55:00,149.00
396,2022-06-21 00:00:00 -> 2022-06-21 23:55:00,140.00
397,2022-06-22 00:00:00 -> 2022-06-22 23:55:00,125.00
